id,0dayPrice,7dayPrice,14dayPrice,30dayPrice,90dayPrice,
COTY2017q1,0.0,0.009,-0.025,-0.066,0.0
COTY2017q2,0.0,0.027,0.05,0.02,-0.02
COTY2017q3,0.0,-0.053,-0.054,-0.065,
UDR2016q3,0.0,0.007,-0.021,0.006,0.055
UDR2017q1,0.0,0.013,0.033,0.01,
JBHT2016q3,0.0,0.111,0.164,-0.005,0.195
JBHT2017q1,0.0,-0.04,-0.055,-0.008,
DOC2016q3,0.0,-0.018,-0.02,-0.038,0.034
DOC2017q1,0.0,0.058,0.089,0.027,
SWKS2017q1,0.0,0.052,0.058,0.0,0.101
SWKS2017q2,0.0,-0.006,0.072,0.011,
BAH2017q1,0.0,-0.029,-0.019,-0.03,-0.0
BAH2017q2,0.0,0.132,0.209,0.081,0.089
BAH2017q3,0.0,0.011,0.073,0.021,0.065
CBF2016q3,0.0,0.108,0.097,0.002,0.24
CBF2017q1,0.0,-0.084,-0.113,-0.062,
NRG2016q3,0.0,0.016,0.019,0.004,0.502
NRG2017q1,0.0,-0.054,0.063,-0.067,
QCOM2016q4,0.0,-0.012,-0.011,0.012,-0.197
QCOM2017q1,0.0,-0.07,0.006,-0.066,-0.06
QCOM2017q2,0.0,0.036,0.096,0.008,
SIX2016q3,0.0,0.056,0.073,0.027,0.149
SIX2017q1,0.0,-0.034,-0.052,-0.048,
MCK2017q1,0.0,-0.006,-0.072,-0.009,-0.194
MCK2017q2,0.0,-0.081,-0.109,-0.193,-0.074
MCK2017q3,0.0,0.008,0.089,0.003,-0.024
MAIN2016q3,0.0,0.113,0.099,0.116,0.098
MAIN2017q1,0.0,-0.048,-0.039,-0.047,
FLS2016q3,0.0,0.056,0.078,-0.042,0.18
FLS2017q1,0.0,0.001,-0.023,-0.001,
ROG2016q3,0.0,0.111,0.136,0.117,0.249
ROG2017q1,0.0,0.018,0.005,0.003,
CPE2016q3,0.0,0.079,0.293,0.066,0.146
CPE2017q1,0.0,0.03,-0.038,0.019,
ALK2016q3,0.0,0.1,0.2,0.031,0.327
ALK2017q1,0.0,-0.004,0.051,-0.019,
STAG2016q3,0.0,0.031,0.085,-0.007,0.082
STAG2017q1,0.0,-0.012,0.035,-0.035,
GWR2016q3,0.0,0.069,0.118,0.061,0.031
GWR2017q1,0.0,0.018,0.017,0.016,
EXAS2016q3,0.0,0.013,-0.055,-0.062,0.048
EXAS2017q1,0.0,0.142,0.106,0.06,
PKI2016q3,0.0,-0.001,0.046,0.004,0.033
PKI2017q1,0.0,-0.008,0.027,-0.0,
RGC2016q3,0.0,0.024,-0.043,0.042,-0.022
RGC2017q1,0.0,-0.052,-0.039,-0.054,
GEF2017q1,0.0,0.048,0.023,-0.01,0.109
GEF2017q2,0.0,0.017,0.04,0.011,
FB2016q3,0.0,-0.018,-0.038,0.007,0.086
FB2016q4,0.0,0.019,0.047,0.025,0.166
FB2017q1,0.0,-0.021,0.018,-0.005,
GWW2016q3,0.0,0.094,0.09,-0.015,0.202
GWW2017q1,0.0,-0.022,-0.095,-0.023,
HHC2016q3,0.0,0.064,0.15,0.05,0.071
HHC2017q1,0.0,0.033,0.023,0.019,
AON2016q3,0.0,-0.007,0.023,-0.032,0.008
AON2017q1,0.0,0.034,0.06,0.014,
JCOM2016q3,0.0,0.07,0.142,0.046,0.199
JCOM2017q1,0.0,-0.051,-0.025,-0.071,
CR2016q3,0.0,0.103,0.128,0.087,0.082
CR2017q1,0.0,-0.032,-0.006,-0.025,
WRI2016q3,0.0,0.005,0.033,0.013,0.015
WRI2017q1,0.0,-0.073,-0.067,-0.013,
HBAN2016q3,0.0,0.221,0.313,0.167,0.328
HBAN2017q1,0.0,-0.007,0.0,0.011,
DCT2016q3,0.0,-0.014,0.012,-0.032,0.002
DCT2017q1,0.0,0.021,0.044,-0.006,
RP2016q3,0.0,0.056,0.099,0.013,0.147
RP2017q1,0.0,-0.039,-0.05,-0.029,
CPRT2017q1,0.0,0.024,0.013,0.022,0.081
CPRT2017q2,0.0,0.021,0.05,0.025,0.05
CPRT2017q3,0.0,-0.011,0.004,0.012,
SLAB2016q3,0.0,0.017,0.108,-0.042,0.095
