id,90dayPrice,cashandcashequivalents,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,costofrevenue,ebit,grossprofit,incomebeforetaxes,interestexpense,netincome,propertyplantequipmentnet,sellinggeneraladministrativeexpenses,totalassets,totalcurrentassets,totalliabilities,totalcurrentliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity
WRK2017q1,0.0,0.447,0.363,-0.066,0.35600000000000004,-0.013000000000000001,-2.072,-0.17800000000000002,-1.431,0.025,-1.879,-0.023,-0.54,-0.006999999999999999,0.031,0.023,0.001,-0.002,-0.047,-0.046,-0.032,-0.018000000000000002
WST2016q3,1.0,0.016,1.0270000000000001,0.124,-0.102,0.004,-0.162,-0.092,-0.171,0.1,-0.159,0.042,-0.067,0.018000000000000002,-0.002,-0.011000000000000001,-0.005,-0.001,-0.043,-0.028999999999999998,0.04,0.03
WSTC2016q3,1.0,-0.14400000000000002,1.624,5.0,-0.242,-0.006,-0.11,-0.027999999999999997,0.4,-0.024,0.441,-0.013000000000000001,0.02,-0.02,-0.059000000000000004,-0.008,-0.025,-0.027000000000000003,-0.01,-0.019,-0.059000000000000004,-0.06
WTS2016q3,1.0,0.18100000000000002,0.43799999999999994,-1.358,1.081,-0.09699999999999999,-0.013999999999999999,-0.057999999999999996,-0.217,-0.109,-0.23399999999999999,-0.001,-0.054000000000000006,0.013000000000000001,0.031,0.015,0.0,0.0,-0.025,-0.081,-0.133,0.031
WTW2016q3,1.0,-0.135,5.0,-0.114,5.0,-0.08199999999999999,-0.094,-0.10400000000000001,-0.133,-0.01,0.13699999999999998,-0.002,-0.11199999999999999,-0.003,-0.005,-0.134,-0.017,-0.002,-0.10300000000000001,-0.09300000000000001,-0.696,-0.03
WWW2016q3,1.0,1.395,-4.2219999999999995,-1.097,-0.536,0.026000000000000002,0.6509999999999999,0.047,0.836,0.10300000000000001,1.008,-0.003,-0.085,0.125,0.314,1.19,0.184,-0.166,-0.01,0.034,5.0,0.038
WY2016q3,1.0,0.586,-0.638,-0.38,-0.295,0.045,0.062,-0.005,0.136,0.0,0.35100000000000003,-0.0,-0.138,-0.047,0.008,1.137,-0.064,-0.21,0.002,0.033,5.0,-0.025
WYN2016q3,1.0,-0.305,-0.147,-0.36,-0.82,0.107,0.24,0.134,0.253,0.0,0.256,-0.002,0.048,-0.02,-0.134,-0.11699999999999999,-0.023,0.01,-0.04,0.121,-0.045,0.019
X2016q3,1.0,0.762,5.0,-0.415,0.32,-0.015,5.0,0.743,-1.642,-0.033,-2.109,-0.02,0.141,0.059000000000000004,0.168,0.032,-0.023,-0.023,-0.043,0.039,0.122,0.36
XEC2016q3,1.0,0.08900000000000001,-0.295,-0.017,0.6809999999999999,0.004,-0.955,0.192,-0.955,0.021,-0.953,-0.013999999999999999,-0.105,0.002,0.053,0.094,0.009000000000000001,0.0,-0.012,0.12300000000000001,0.086,-0.006
