ticker,name,marketCap,ipoyear,sector,industry,link,exchange,Country,spy,qqq,dow
PTEN,"Patterson-UTI Energy, Inc.",4194956634,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pten,nasdaq,USA,,,
CASY,"Caseys General Stores, Inc.",4191460425,1983,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/casy,nasdaq,USA,,,
AKRX,"Akorn, Inc.",4189575019,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,nasdaq,USA,,,
FSLR,"First Solar, Inc.",4189332996,2006,Technology,Semiconductors,http://www.nasdaq.com/symbol/fslr,nasdaq,USA,,,
APU,"AmeriGas Partners, L.P.",4182183254,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu,NYSE,USA,,,
POR,Portland General Electric Company,4176400536,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/por,NYSE,USA,,,
GWR,"Genesee & Wyoming, Inc.",4171034581,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/gwr,NYSE,USA,,,
ASH,Ashland Global Holdings Inc.,4170031429,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/ash,NYSE,USA,,,
NBIX,"Neurocrine Biosciences, Inc.",4166826500,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/nbix,nasdaq,USA,,,
UNVR,Univar Inc.,4148396385,2015,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/unvr,NYSE,USA,,,
AZPN,"Aspen Technology, Inc.",4146445690,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn,nasdaq,USA,,,
CRUS,"Cirrus Logic, Inc.",4145654129,1989,Technology,Semiconductors,http://www.nasdaq.com/symbol/crus,nasdaq,USA,,,
UBNT,"Ubiquiti Networks, Inc.",4141830400,2011,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/ubnt,nasdaq,USA,,,
TRN,"Trinity Industries, Inc.",4139109653,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/trn,NYSE,USA,,,
KSU,Kansas City Southern,10904053450,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/ksu,NYSE,USA,TRUE,,
WSM,"Williams-Sonoma, Inc.",4121312243,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm,NYSE,USA,,,
EXPD,"Expeditors International of Washington, Inc.",10071207233,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/expd,nasdaq,USA,TRUE,,
GPK,Graphic Packaging Holding Company,4117971579,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/gpk,NYSE,USA,,,
VMBS,Vanguard Mortgage-Backed Securities ETF,4110392951,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmbs,nasdaq,USA,,,
MPWR,"Monolithic Power Systems, Inc.",4106291395,2004,Technology,Semiconductors,http://www.nasdaq.com/symbol/mpwr,nasdaq,USA,,,
WTFC,Wintrust Financial Corporation,4104835763,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wtfc,nasdaq,USA,,,
CABO,"Cable One, Inc.",4095330941,2015,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cabo,NYSE,USA,,,
MMS,"Maximus, Inc.",4091572909,1997,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/mms,NYSE,USA,,,
IART,Integra LifeSciences Holdings Corporation,4081257652,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/iart,nasdaq,USA,,,
MOH,Molina Healthcare Inc,4052984400,2003,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/moh,NYSE,USA,,,
UBSI,"United Bankshares, Inc.",4052347488,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ubsi,nasdaq,USA,,,
ISBC,"Investors Bancorp, Inc.",4044040979,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/isbc,nasdaq,USA,,,
MTG,MGIC Investment Corporation,4016833121,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mtg,NYSE,USA,,,
FHB,"First Hawaiian, Inc.",4010569715,2016,Finance,Major Banks,http://www.nasdaq.com/symbol/fhb,nasdaq,USA,,,
UMPQ,Umpqua Holdings Corporation,3998125549,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/umpq,nasdaq,USA,,,
CW,Curtiss-Wright Corporation,3995381563,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cw,NYSE,USA,,,
BPOP,"Popular, Inc.",3994804977,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpop,nasdaq,USA,,,
IBKC,IBERIABANK Corporation,3988104602,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ibkc,nasdaq,USA,,,
FHN,First Horizon National Corporation,3987709413,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fhn,NYSE,USA,,,
CBRL,"Cracker Barrel Old Country Store, Inc.",3980728812,1981,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/cbrl,nasdaq,USA,,,
OPK,"Opko Health, Inc.",3971659699,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/opk,nasdaq,USA,,,
CAB,Cabela&#39;s Inc,3970000733,2004,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/cab,NYSE,USA,,,
AMGP,Antero Midstream GP LP,3969148941,2017,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amgp,NYSE,USA,,,
FUN,"Cedar Fair, L.P.",3966862469,1987,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/fun,NYSE,USA,,,
EQC,Equity Commonwealth,3966332314,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqc,NYSE,USA,,,
STOR,STORE Capital Corporation,3960474956,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/stor,NYSE,USA,,,
WTM,"White Mountains Insurance Group, Ltd.",3959672049,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wtm,NYSE,USA,,,
TECD,Tech Data Corporation,3936777124,1986,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/tecd,nasdaq,USA,,,
MKSI,"MKS Instruments, Inc.",3936373805,1999,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mksi,nasdaq,USA,,,
COLM,Columbia Sportswear Company,3931515242,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/colm,nasdaq,USA,,,
HBHC,Hancock Holding Company,3913233774,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hbhc,nasdaq,USA,,,
GDI,"Gardner Denver Holdings, Inc.",3889511084,2017,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/gdi,NYSE,USA,,,
EME,"EMCOR Group, Inc.",3889241275,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/eme,NYSE,USA,,,
NUVA,"NuVasive, Inc.",3885326604,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nuva,nasdaq,USA,,,
EXAS,Exact Sciences Corporation,3885080695,2001,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/exas,nasdaq,USA,,,
WRI,Weingarten Realty Investors,3877338619,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri,NYSE,USA,,,
CAA,"CalAtlantic Group, Inc.",3862434441,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/caa,NYSE,USA,,,
VSAT,"ViaSat, Inc.",3846711253,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/vsat,nasdaq,USA,,,
MTSI,"MACOM Technology Solutions Holdings, Inc.",3845611213,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/mtsi,nasdaq,USA,,,
TCP,"TC PipeLines, LP",3842992802,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tcp,NYSE,USA,,,
TDC,Teradata Corporation,3840210000,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/tdc,NYSE,USA,,,
ELLI,"Ellie Mae, Inc.",3831428192,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/elli,NYSE,USA,,,
LITE,Lumentum Holdings Inc.,3831044368,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/lite,nasdaq,USA,,,
LM,"Legg Mason, Inc.",3828156302,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,NYSE,USA,,,
PGRE,"Paramount Group, Inc.",3815453232,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pgre,NYSE,USA,,,
OI,"Owens-Illinois, Inc.",3813643769,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/oi,NYSE,USA,,,
DNB,Dun & Bradstreet Corporation (The),3807811474,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb,NYSE,USA,,,
X,United States Steel Corporation,3807586757,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/x,NYSE,USA,,,
STAY,"Extended Stay America, Inc.",3806221746,2013,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/stay,NYSE,USA,,,
AL,Air Lease Corporation,3800582059,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al,NYSE,USA,,,
TEGP,"Tallgrass Energy GP, LP",3789229504,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tegp,NYSE,USA,,,
RYN,Rayonier Inc.,3775938920,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ryn,NYSE,USA,,,
GEO,Geo Group Inc (The),3775022987,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/geo,NYSE,USA,,,
BKH,Black Hills Corporation,3769058663,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/bkh,NYSE,USA,,,
SRC,"Spirit Realty Capital, Inc.",3755905898,2013,Consumer Services,Building operators,http://www.nasdaq.com/symbol/src,NYSE,USA,,,
CUZ,Cousins Properties Incorporated,3753313697,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cuz,NYSE,USA,,,
PFPT,"Proofpoint, Inc.",3750413286,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/pfpt,nasdaq,USA,,,
IGT,International Game Technology,3749003600,2015,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/igt,NYSE,USA,,,
ALE,"Allete, Inc.",3747542009,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale,NYSE,USA,,,
WEN,Wendy&#39;s Company (The),3743206654,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/wen,nasdaq,USA,,,
LOPE,"Grand Canyon Education, Inc.",3742229409,2008,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/lope,nasdaq,USA,,,
CHH,"Choice Hotels International, Inc.",3739695834,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/chh,NYSE,USA,,,
COR,CoreSite Realty Corporation,3739285251,2010,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cor,NYSE,USA,,,
GEL,"Genesis Energy, L.P.",3734988772,1996,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/gel,NYSE,USA,,,
MTZ,"MasTec, Inc.",3730158672,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/mtz,NYSE,USA,,,
LFUS,"Littelfuse, Inc.",3726143475,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/lfus,nasdaq,USA,,,
ASB,Associated Banc-Corp,3724220430,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asb,NYSE,USA,,,
R,"Ryder System, Inc.",3717077811,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/r,NYSE,USA,,,
CIM,Chimera Investment Corporation,3710522703,2007,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cim,NYSE,USA,,,
CIEN,Ciena Corporation,3710315101,1997,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cien,NYSE,USA,,,
CDEV,"Centennial Resource Development, Inc.",3709313865,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cdev,nasdaq,USA,,,
