Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
MET^A,"MetLife, Inc.",25.47,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/met^a,NYSE
MXE,"Mexico Equity and Income Fund, Inc. (The)",11.45,84154248.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mxe,NYSE
MXF,"Mexico Fund, Inc. (The)",17.19,258328053.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mxf,NYSE
MFA,"MFA Financial, Inc.",8.61,3214321465,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mfa,NYSE
MFA^B,"MFA Financial, Inc.",25.38,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mfa^b,NYSE
MFO,"MFA Financial, Inc.",25.94,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mfo,NYSE
MCR,MFS Charter Income Trust,8.67,446514944.5,n/a,1989,n/a,n/a,http://www.nasdaq.com/symbol/mcr,NYSE
MGF,MFS Government Markets Income Trust,4.99,162679573.8,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/mgf,NYSE
MIN,MFS Intermediate Income Trust,4.32,508605151.7,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/min,NYSE
MMT,MFS Multimarket Income Trust,6.16,461425715.5,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/mmt,NYSE
MFM,MFS Municipal Income Trust,7.17,295315314.3,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/mfm,NYSE
MFV,MFS Special Value Trust,6.3301,44845384.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mfv,NYSE
MTG,MGIC Investment Corporation,10.84,4016833121,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mtg,NYSE
MGP,MGM Growth Properties LLC,29.53,1702768605,n/a,2016,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mgp,NYSE
MGM,MGM Resorts International,33.85,19454931533,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mgm,NYSE
MAA,"Mid-America Apartment Communities, Inc.",108.6,12334302992,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/maa,NYSE
MAA^I,"Mid-America Apartment Communities, Inc.",64.2062,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/maa^i,NYSE
MSL,MidSouth Bancorp,11.35,181228264.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/msl,NYSE
MPO,"MIDSTATES PETROLEUM COMPANY, INC.",11.81,296017756.3,n/a,2016,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mpo,NYSE
MCRN,Milacron Holdings Corp.,17.4,1202160171,n/a,2015,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/mcrn,NYSE
MLR,"Miller Industries, Inc.",25.6,290610739.2,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/mlr,NYSE
HIE,Miller/Howard High Income Equity Fund,13.58,182215407.9,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/hie,NYSE
MTX,Minerals Technologies Inc.,71.5,2508666375,n/a,1992,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/mtx,NYSE
MP^D,Mississippi Power Company,25.7775,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mp^d,NYSE
MG,Mistras Group Inc,21.63,616201669.4,n/a,2009,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/mg,NYSE
MODN,"Model N, Inc.",13.1,377299440.4,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/modn,NYSE
MOD,Modine Manufacturing Company,16.35,818804092.4,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mod,NYSE
MHK,"Mohawk Industries, Inc.",246.65,18331036386,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/mhk,NYSE
MOH,Molina Healthcare Inc,71.1,4052984400,n/a,2003,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/moh,NYSE
MNR,Monmouth Real Estate Investment Corporation,15.01,1089149646,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mnr,NYSE
MNR^C,Monmouth Real Estate Investment Corporation,26.46,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mnr^c,NYSE
MORE          ,"Monogram Residential Trust, Inc.",9.83,1641777887,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/more,NYSE
MON,Monsanto Company,117.8,51691540345,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/mon,NYSE
MCO,Moody&#39;s Corporation,120.62,23074606000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/mco,NYSE
MOG.B,Moog Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mog.b,NYSE
MS,Morgan Stanley,44,81390413940,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ms,NYSE
MS^A,Morgan Stanley,24.18,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^a,NYSE
MS^E,Morgan Stanley,29.9,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^e,NYSE
MS^F,Morgan Stanley,29.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^f,NYSE
MS^G,Morgan Stanley,27.74,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^g,NYSE
MS^I,Morgan Stanley,28.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^i,NYSE
MS^K,Morgan Stanley,27.42,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ms^k,NYSE
